frame,track_id,label,xtl,ytl,xbr,ybr,outside,occluded,keyframe,z_order,source
0,0,motorcycle,466.66,389.74,492.56,410.46,0,0,1,0,file
0,10,car,491.27,405.28,550.83,440.24,0,0,1,0,manual
1,0,motorcycle,468.6,389.52,494.5,410.24,0,0,0,0,file
1,10,car,492.07,405.18,551.64,440.14,0,0,0,0,manual
2,0,motorcycle,470.55,389.31,496.44,410.03,0,0,0,0,file
2,10,car,492.87,405.07,552.44,440.04,0,0,0,0,manual
3,0,motorcycle,472.49,389.09,498.39,409.81,0,0,0,0,file
3,10,car,493.67,404.97,553.24,439.93,0,0,0,0,manual
4,0,motorcycle,474.43,388.88,500.33,409.6,0,0,0,0,file
4,10,car,494.48,404.87,554.05,439.83,0,0,0,0,manual
5,0,motorcycle,476.37,388.66,502.27,409.38,0,0,0,0,file
5,10,car,495.28,404.76,554.85,439.73,0,0,0,0,manual
6,0,motorcycle,478.32,388.45,504.21,409.17,0,0,0,0,file
6,10,car,496.08,404.66,555.65,439.62,0,0,0,0,manual
7,0,motorcycle,480.26,388.23,506.16,408.95,0,0,0,0,file
7,10,car,496.89,404.56,556.45,439.52,0,0,0,0,manual
8,0,motorcycle,482.2,388.01,508.1,408.73,0,0,0,0,file
8,10,car,497.69,404.45,557.26,439.42,0,0,0,0,manual
9,0,motorcycle,484.14,387.8,510.04,408.52,0,0,0,0,file
9,10,car,498.49,404.35,558.06,439.31,0,0,0,0,manual
10,0,motorcycle,486.09,387.58,511.98,408.3,0,0,0,0,file
10,10,car,499.3,404.24,558.86,439.21,0,0,0,0,manual
11,0,motorcycle,488.03,387.37,513.93,408.09,0,0,0,0,file
11,10,car,500.1,404.14,559.67,439.1,0,0,0,0,manual
12,0,motorcycle,489.97,387.15,515.87,407.87,0,0,0,0,file
12,10,car,500.9,404.04,560.47,439.0,0,0,0,0,manual
13,0,motorcycle,491.91,386.94,517.81,407.66,0,0,0,0,file
13,10,car,501.7,403.93,561.27,438.9,0,0,0,0,manual
14,0,motorcycle,493.86,386.72,519.75,407.44,0,0,0,0,file
14,10,car,502.51,403.83,562.07,438.79,0,0,0,0,manual
15,0,motorcycle,495.8,386.5,521.7,407.23,0,0,0,0,file
15,10,car,503.31,403.73,562.88,438.69,0,0,0,0,manual
