frame,track_id,class_name,xtl,ytl,xbr,ybr,is_dangerous,sample_weight
51,71,motorcycle,620.94,449.41,632.8,475.85,1,10.0
51,35,car,532.07,387.9,593.27,440.75,0,3.0
58,71,motorcycle,625.35,453.36,638.85,480.82,1,10.0
58,35,car,536.19,392.61,598.02,442.31,0,3.0
62,71,motorcycle,627.11,455.82,640.01,482.09,1,10.0
62,35,car,540.1,393.28,600.39,438.18,0,3.0
67,71,motorcycle,627.42,458.6,640.65,484.35,1,10.0
67,35,car,544.09,389.89,603.96,436.43,0,3.0
68,71,motorcycle,627.43,459.53,640.69,485.0,1,10.0
68,35,car,544.48,389.38,604.75,436.69,0,3.0
69,71,motorcycle,627.44,460.57,640.56,485.72,1,10.0
69,35,car,545.21,389.92,605.53,437.17,0,3.0
69,71,motorcycle,627.44,460.57,640.56,485.72,1,10.0
69,6,motorcycle,666.79,442.13,677.34,468.61,0,3.0
70,71,motorcycle,627.41,461.33,640.31,486.19,1,10.0
70,35,car,546.33,389.81,606.26,438.08,0,3.0
70,71,motorcycle,627.41,461.33,640.31,486.19,1,10.0
70,6,motorcycle,666.69,441.32,677.15,467.7,0,3.0
71,71,motorcycle,627.35,461.83,640.39,486.55,1,10.0
71,6,motorcycle,666.57,441.05,676.99,467.15,0,3.0
72,71,motorcycle,627.41,462.42,640.52,486.88,1,10.0
72,6,motorcycle,666.09,440.5,676.72,466.54,0,3.0
73,71,motorcycle,627.41,463.06,640.66,487.31,1,10.0
73,35,car,547.88,387.39,609.34,437.9,0,3.0
73,71,motorcycle,627.41,463.06,640.66,487.31,1,10.0
73,6,motorcycle,665.99,440.04,676.5,466.05,0,3.0
74,71,motorcycle,627.39,463.73,640.75,488.07,1,10.0
74,6,motorcycle,665.8,440.03,675.98,465.41,0,3.0
75,71,motorcycle,627.37,463.83,640.75,488.46,1,10.0
75,35,car,549.63,387.74,610.38,436.57,0,3.0
75,71,motorcycle,627.37,463.83,640.75,488.46,1,10.0
75,6,motorcycle,665.68,439.15,675.71,465.09,0,3.0
76,71,motorcycle,627.3,464.03,640.76,488.84,1,10.0
76,35,car,550.23,388.18,611.17,436.32,0,3.0
76,71,motorcycle,627.3,464.03,640.76,488.84,1,10.0
76,6,motorcycle,665.14,437.8,675.51,464.28,0,3.0
77,71,motorcycle,627.09,464.42,640.68,489.46,1,10.0
77,6,motorcycle,664.68,437.16,675.41,463.69,0,3.0
78,71,motorcycle,627.05,464.48,640.63,489.84,1,10.0
78,35,car,551.4,388.33,612.64,436.73,0,3.0
78,71,motorcycle,627.05,464.48,640.63,489.84,1,10.0
78,6,motorcycle,664.53,436.63,674.92,462.97,0,3.0
79,71,motorcycle,626.85,464.68,640.61,490.0,1,10.0
79,35,car,552.38,388.61,613.3,436.33,0,3.0
79,71,motorcycle,626.85,464.68,640.61,490.0,1,10.0
79,6,motorcycle,664.22,443.57,674.33,462.83,0,3.0
80,71,motorcycle,626.77,465.26,640.73,490.29,1,10.0
