frame,v1_id,v1_class,v2_id,v2_class,conflict_world_x,conflict_world_y,conflict_px_x,conflict_px_y,aggressor_id,passive_id,angular_says,ttc_says,methods_agree,ttc1_sec,ttc2_sec
19,297,two wheeler,538,two wheeler,38.6416,28.4236,772.8,568.5,538,297,uncertain,v2,True,4.507,3.321
26,255,two wheeler,599,two wheeler,32.7657,23.2609,655.3,465.2,255,599,uncertain,v1,True,2.651,5.124
57,323,suv,1074,suv,51.5569,40.6512,1031.1,813.0,1074,323,uncertain,v2,True,3.913,3.91
82,64,suv,105,two wheeler,46.1697,27.1353,923.4,542.7,105,64,uncertain,v2,True,4.82,3.713
82,278,hatchback,499,lcv,47.5156,24.3937,950.3,487.9,499,278,uncertain,v2,True,2.644,0.421
84,1100,two wheeler,1136,two wheeler,18.8901,22.2415,377.8,444.8,1100,1136,uncertain,v1,True,1.988,4.175
84,1136,two wheeler,1367,lcv,19.0351,23.3287,380.7,466.6,1367,1136,uncertain,v2,True,5.658,3.424
90,569,two wheeler,959,lcv,46.0815,19.7734,921.6,395.5,959,569,uncertain,v2,True,3.083,0.595
91,56,two wheeler,959,suv,44.1877,24.9939,883.8,499.9,56,959,uncertain,v1,True,5.738,6.461
93,959,suv,1162,three wheeler,44.1878,24.9748,883.8,499.5,1162,959,uncertain,v2,True,6.323,4.265
99,86,two wheeler,959,two wheeler,44.0713,25.2864,881.4,505.7,86,959,uncertain,v1,True,5.576,6.271
100,25,two wheeler,1171,two wheeler,66.7779,27.4485,1335.6,549.0,1171,25,uncertain,v2,True,4.696,4.153
103,43,suv,392,lcv,55.1203,34.2679,1102.4,685.4,43,392,uncertain,v1,True,5.344,5.822
105,1583,two wheeler,1722,three wheeler,67.1806,54.5157,1343.6,1090.3,1583,1722,uncertain,v1,True,5.622,6.45
109,323,two wheeler,533,two wheeler,53.117,37.5112,1062.3,750.2,323,533,uncertain,v1,True,0.246,2.745
109,1100,suv,1466,two wheeler,32.2637,26.7379,645.3,534.8,1466,1100,uncertain,v2,True,5.725,3.242
113,392,suv,1840,two wheeler,55.1384,34.0544,1102.8,681.1,1840,392,uncertain,v2,True,5.084,4.78
118,3,suv,1100,lcv,31.5125,26.8095,630.3,536.2,3,1100,uncertain,v1,True,2.834,5.326
