violation_type,frame,track_id,leader_track_id,class_name,lane,d
Lane Straddling,,17,,motorcycle,,
Lane Straddling,,32,,person,,
Lane Straddling,,33,,person,,
Lane Straddling,,53,,person,,
Lane Straddling,,56,,car,,
Lane Straddling,,68,,person,,
Lane Straddling,,82,,person,,
Lane Straddling,,86,,person,,
Lane Straddling,,87,,motorcycle,,
Lane Straddling,,110,,person,,
Lane Straddling,,112,,person,,
Lane Straddling,,124,,motorcycle,,
Lane Straddling,,132,,person,,
Lane Straddling,,134,,motorcycle,,
Lane Straddling,,142,,person,,
Lane Straddling,,151,,motorcycle,,
Lane Straddling,,180,,person,,
Lane Straddling,,182,,person,,
Lane Straddling,,193,,car,,
Lane Straddling,,226,,person,,
Lane Straddling,,260,,motorcycle,,
Lane Straddling,,268,,motorcycle,,
Lane Straddling,,271,,person,,
Lane Straddling,,278,,person,,
Lane Straddling,,282,,motorcycle,,
Lane Straddling,,283,,motorcycle,,
Lane Straddling,,300,,person,,
Lane Straddling,,322,,motorcycle,,
Lane Straddling,,329,,person,,
Tailgating,2.0,69,53.0,person,Inner,2.2829612226596523
Tailgating,2.0,55,57.0,car,Outer,2.015638898838438
Tailgating,3.0,69,53.0,person,Inner,2.2607260578543995
Tailgating,3.0,55,57.0,car,Outer,1.9525480256576577
Tailgating,4.0,55,57.0,car,Outer,1.9036725460438904
Tailgating,5.0,69,53.0,person,Inner,2.2572300455837953
Tailgating,7.0,55,57.0,car,Outer,1.8012179579328287
Tailgating,8.0,55,57.0,car,Outer,1.7570523943423997
Tailgating,9.0,69,53.0,person,Inner,2.217319549740719
Tailgating,10.0,55,57.0,car,Outer,1.8069052968071286
Tailgating,11.0,69,53.0,person,Inner,2.193836291946597
Tailgating,11.0,55,57.0,car,Outer,1.8518091720514924
Tailgating,12.0,69,53.0,person,Inner,2.1941680160898267
Tailgating,12.0,24,5.0,motorcycle,Inner,1.2787648372872458
Tailgating,12.0,55,57.0,car,Outer,1.902143116220846
Tailgating,13.0,24,5.0,motorcycle,Inner,1.2972141753729947
Tailgating,13.0,55,57.0,car,Outer,1.9562183815015692
Tailgating,14.0,24,5.0,motorcycle,Inner,1.3281917582212734
Tailgating,14.0,55,57.0,car,Outer,2.019999222311892
Tailgating,15.0,24,5.0,motorcycle,Inner,1.3610054538541034
Tailgating,15.0,55,57.0,car,Outer,2.0794993682916982
Tailgating,16.0,24,5.0,motorcycle,Inner,1.3919277556180636
Tailgating,16.0,80,81.0,car,Outer,0.0008252321843828851
Tailgating,17.0,24,5.0,motorcycle,Inner,1.4210588093923724
Tailgating,17.0,80,81.0,car,Outer,0.00612171371854109
Tailgating,18.0,24,5.0,motorcycle,Inner,1.4519884758551733
Tailgating,18.0,80,81.0,car,Outer,0.0038804342747428048
Tailgating,19.0,24,5.0,motorcycle,Inner,1.4811926917504177
Tailgating,20.0,24,5.0,motorcycle,Inner,1.5104484229480035
Tailgating,21.0,24,5.0,motorcycle,Inner,1.5523967422780045
Tailgating,22.0,24,5.0,motorcycle,Inner,1.5842573612281339
Tailgating,23.0,6,31.0,person,Inner,1.091636044870136
Tailgating,23.0,24,5.0,motorcycle,Inner,1.6055241875520714
Tailgating,24.0,24,5.0,motorcycle,Inner,1.6349213977073453
Tailgating,25.0,24,5.0,motorcycle,Inner,1.6681856585910977
Tailgating,26.0,24,72.0,motorcycle,Outer,1.8555978120756287
Tailgating,27.0,24,72.0,motorcycle,Outer,1.846001337453219
Tailgating,28.0,24,72.0,motorcycle,Outer,1.8313694351330276
Tailgating,29.0,24,72.0,motorcycle,Outer,1.8081815732395825
Tailgating,30.0,24,72.0,motorcycle,Outer,1.804909770270166
Tailgating,31.0,24,72.0,motorcycle,Outer,1.778895134807769
Tailgating,32.0,24,72.0,motorcycle,Outer,1.7633088317976269
Tailgating,33.0,81,80.0,car,Outer,0.12938830062788365
Tailgating,34.0,81,80.0,car,Outer,0.10770788856180695
Tailgating,34.0,55,57.0,car,Outer,2.132874933794303
Tailgating,35.0,112,69.0,person,Inner,3.7234489149807293
Tailgating,35.0,81,80.0,car,Outer,0.07815399119146993
Tailgating,35.0,55,57.0,car,Outer,2.0874170170949067
Tailgating,36.0,112,69.0,person,Inner,3.7459916161597793
Tailgating,36.0,108,14.0,car,Outer,0.011518072716229842
Tailgating,36.0,81,80.0,car,Outer,0.05074355814261721
Tailgating,36.0,55,57.0,car,Outer,2.023881473123357
Tailgating,37.0,112,69.0,person,Inner,3.7723776864362955
Tailgating,37.0,108,14.0,car,Outer,0.001671318874411308
Tailgating,37.0,55,57.0,car,Outer,1.9472663739210734
Tailgating,38.0,112,69.0,person,Inner,3.8045041816394867
Tailgating,38.0,108,14.0,car,Outer,0.0016818576345909923
Tailgating,38.0,55,57.0,car,Outer,1.8839618998936143
Tailgating,39.0,112,69.0,person,Inner,3.8415845112326195
Tailgating,39.0,108,14.0,car,Outer,0.0016994310908918595
Tailgating,39.0,55,57.0,car,Outer,1.811999579718954
Tailgating,40.0,112,69.0,person,Inner,3.861958748330465
Tailgating,40.0,14,108.0,car,Outer,0.009851985331525086
Tailgating,40.0,55,57.0,car,Outer,1.7669640815682375
Tailgating,41.0,112,69.0,person,Inner,3.8736319027039094
Tailgating,41.0,14,108.0,car,Outer,0.009848672456400828
Tailgating,41.0,55,57.0,car,Outer,1.730981257167612
Tailgating,42.0,112,69.0,person,Inner,3.899022565967064
Tailgating,42.0,14,108.0,car,Outer,0.01969230637020116
Tailgating,43.0,112,69.0,person,Inner,3.90782461566289
Tailgating,43.0,14,108.0,car,Outer,0.00984211218390738
Tailgating,43.0,55,57.0,car,Outer,1.7528806536134134
Tailgating,44.0,112,69.0,person,Inner,3.9195202833151814
Tailgating,44.0,14,108.0,car,Outer,0.009837355794982548
Tailgating,44.0,55,57.0,car,Outer,1.8203616154847815
Tailgating,45.0,112,69.0,person,Inner,3.9312213912056486
Tailgating,45.0,14,108.0,car,Outer,0.009832262366458223
Tailgating,45.0,55,57.0,car,Outer,1.88708969859669
Tailgating,46.0,112,69.0,person,Inner,3.937345173763784
Tailgating,46.0,108,14.0,car,Outer,0.0
Tailgating,46.0,55,57.0,car,Outer,1.9670152112819428
Tailgating,47.0,112,69.0,person,Inner,3.9490620322620766
Tailgating,47.0,108,14.0,car,Outer,0.0018812508339612296
Tailgating,47.0,55,57.0,car,Outer,2.0505923829137576
Tailgating,48.0,112,69.0,person,Inner,3.9581036753352783
Tailgating,48.0,108,14.0,car,Outer,0.0
Tailgating,48.0,55,57.0,car,Outer,2.1306085003504482
Tailgating,48.0,11,24.0,motorcycle,Outer,0.7194213375964038
Tailgating,49.0,112,69.0,person,Inner,3.9647247885642782
Tailgating,49.0,14,108.0,car,Outer,0.009811589109959573
Tailgating,49.0,80,81.0,car,Outer,0.006024388908471014
Tailgating,49.0,55,57.0,car,Outer,2.188763243148424
Tailgating,49.0,11,24.0,motorcycle,Outer,0.6336303795538083
Tailgating,50.0,112,69.0,person,Inner,3.9852871095094784
Tailgating,50.0,108,14.0,car,Outer,0.0
Tailgating,50.0,80,81.0,car,Outer,0.04305254519314169
Tailgating,50.0,11,24.0,motorcycle,Outer,0.5442419900100667
Tailgating,51.0,14,108.0,car,Outer,0.007822347059770475
Tailgating,51.0,80,81.0,car,Outer,0.05655687372080048
Tailgating,51.0,55,57.0,car,Outer,2.128589903178332
Tailgating,51.0,11,24.0,motorcycle,Outer,0.4351958926410559
Tailgating,52.0,14,108.0,car,Outer,0.009797847169616123
Tailgating,52.0,80,81.0,car,Outer,0.05261555652136085
Tailgating,52.0,55,57.0,car,Outer,2.065328137614718
Tailgating,52.0,11,24.0,motorcycle,Outer,0.32044719193624543
Tailgating,53.0,108,14.0,car,Outer,0.0
Tailgating,53.0,80,81.0,car,Outer,0.05311361055649897
Tailgating,53.0,55,57.0,car,Outer,1.9655886301607997
Tailgating,53.0,11,24.0,motorcycle,Outer,0.18658880428286895
Tailgating,54.0,14,108.0,car,Outer,0.00978799382618479
Tailgating,54.0,80,81.0,car,Outer,0.04975203152181547
Tailgating,54.0,11,24.0,motorcycle,Outer,0.07947687003015062
Tailgating,55.0,14,108.0,car,Outer,0.019565884670341895
Tailgating,55.0,11,24.0,motorcycle,Outer,0.0240071251099838
Tailgating,56.0,14,108.0,car,Outer,0.02165442441937108
Tailgating,56.0,24,11.0,motorcycle,Outer,0.020992724378057527
Tailgating,57.0,14,108.0,car,Outer,0.019541346259489313
Tailgating,57.0,55,57.0,car,Outer,1.8070588677672312
