frame,track_id,class_name,x1,y1,x2,y2,center_x,center_y,world_x,world_y,confidence,velocity_ms
0,1,person,1385.25,433.26,1399.54,465.32,1392.39,449.29,69.6197,22.4647,0.7038,0.0
0,2,person,1360.33,432.64,1372.59,458.33,1366.46,445.49,68.3229,22.2745,0.6008,0.0
0,3,person,1322.04,435.92,1334.15,463.18,1328.1,449.55,66.4048,22.4776,0.5284,0.0
0,4,person,889.25,438.1,897.99,460.17,893.62,449.14,44.6811,22.4568,0.528,0.0
0,5,person,721.31,614.55,731.19,637.92,726.25,626.23,36.3127,31.3116,0.5276,0.0
0,6,person,801.32,432.27,810.82,454.2,806.07,443.23,40.3036,22.1615,0.5071,0.0
0,7,car,937.44,971.27,989.17,1008.86,963.31,990.07,48.1654,49.5033,0.6153,0.0
0,8,car,542.78,512.16,597.05,559.01,569.92,535.59,28.4958,26.7793,0.8435,0.0
0,9,car,636.28,693.39,676.64,745.04,656.46,719.22,32.823,35.9608,0.7939,0.0
0,10,car,751.51,664.58,786.56,699.91,769.04,682.25,38.4519,34.1123,0.7767,0.0
0,11,car,319.16,535.76,379.77,575.19,349.46,555.48,17.4732,27.7739,0.6356,0.0
0,12,car,406.41,521.52,467.06,574.33,436.73,547.93,21.8367,27.3963,0.6335,0.0
0,13,truck,1186.47,930.97,1338.04,1079.43,1262.25,1005.2,63.1127,50.26,0.5988,0.0
0,14,car,610.2,349.5,637.98,414.03,624.09,381.77,31.2047,19.0883,0.5877,0.0
0,15,car,706.59,733.82,735.46,772.63,721.02,753.23,36.0512,37.6613,0.5321,0.0
0,16,car,395.18,795.0,428.71,856.25,411.95,825.63,20.5973,41.2815,0.5296,0.0
0,17,car,1120.81,683.89,1151.39,741.02,1136.1,712.45,56.8049,35.6226,0.5001,0.0
1,1,person,1385.11,433.38,1399.47,465.15,1392.34,449.28,69.6171,22.464,0.6918,0.082
1,2,person,1360.28,432.21,1372.86,458.42,1366.51,445.4,68.3257,22.2701,0.6848,0.1544
1,3,person,1321.95,435.85,1334.32,463.06,1328.12,449.5,66.4058,22.4751,0.5375,0.0795
1,4,person,889.34,438.12,897.94,460.52,893.63,449.23,44.6815,22.4614,0.4964,0.1386
1,5,person,716.53,614.36,731.06,638.28,725.02,626.27,36.2512,31.3137,0.548,1.8454
