track_id,class_name,entry_direction,exit_direction,violation_start_frame,violation_type,reason
14,car,WEST,SOUTH,0,Unsafe Roundabout Shortcut,WEST to SOUTH shortcut without roundabout traversal during congestion
19,person,WEST,NORTH,0,Unsafe Roundabout Shortcut,WEST to NORTH shortcut without roundabout traversal during congestion
25,person,SOUTH,WEST,0,Unsafe Roundabout Shortcut,SOUTH to WEST shortcut without roundabout traversal during congestion
50,motorcycle,WEST,SOUTH,0,Unsafe Roundabout Shortcut,WEST to SOUTH shortcut without roundabout traversal during congestion
54,motorcycle,EAST,NORTH,0,Unsafe Roundabout Shortcut,EAST to NORTH shortcut without roundabout traversal during congestion
55,motorcycle,WEST,SOUTH,0,Unsafe Roundabout Shortcut,WEST to SOUTH shortcut without roundabout traversal during congestion
56,motorcycle,WEST,SOUTH,0,Unsafe Roundabout Shortcut,WEST to SOUTH shortcut without roundabout traversal during congestion
74,person,NORTH,WEST,0,Unsafe Roundabout Shortcut,NORTH to WEST shortcut without roundabout traversal during congestion
96,motorcycle,SOUTH,WEST,2,Unsafe Roundabout Shortcut,SOUTH to WEST shortcut without roundabout traversal during congestion
111,motorcycle,WEST,SOUTH,7,Unsafe Roundabout Shortcut,WEST to SOUTH shortcut without roundabout traversal during congestion
121,motorcycle,EAST,NORTH,9,Unsafe Roundabout Shortcut,EAST to NORTH shortcut without roundabout traversal during congestion
139,car,EAST,NORTH,13,Unsafe Roundabout Shortcut,EAST to NORTH shortcut without roundabout traversal during congestion
146,person,WEST,SOUTH,15,Unsafe Roundabout Shortcut,WEST to SOUTH shortcut without roundabout traversal during congestion
167,person,NORTH,EAST,20,Unsafe Roundabout Shortcut,NORTH to EAST shortcut without roundabout traversal during congestion
198,car,NORTH,WEST,26,Unsafe Roundabout Shortcut,NORTH to WEST shortcut without roundabout traversal during congestion
238,motorcycle,NORTH,EAST,37,Unsafe Roundabout Shortcut,NORTH to EAST shortcut without roundabout traversal during congestion
380,person,NORTH,WEST,116,Unsafe Roundabout Shortcut,NORTH to WEST shortcut without roundabout traversal during congestion
433,person,WEST,SOUTH,142,Unsafe Roundabout Shortcut,WEST to SOUTH shortcut without roundabout traversal during congestion
758,motorcycle,SOUTH,WEST,300,Unsafe Roundabout Shortcut,SOUTH to WEST shortcut without roundabout traversal during congestion
787,motorcycle,WEST,SOUTH,320,Unsafe Roundabout Shortcut,WEST to SOUTH shortcut without roundabout traversal during congestion
844,motorcycle,EAST,NORTH,357,Unsafe Roundabout Shortcut,EAST to NORTH shortcut without roundabout traversal during congestion
855,motorcycle,SOUTH,WEST,362,Unsafe Roundabout Shortcut,SOUTH to WEST shortcut without roundabout traversal during congestion
948,person,NORTH,EAST,410,Unsafe Roundabout Shortcut,NORTH to EAST shortcut without roundabout traversal during congestion
1047,motorcycle,WEST,SOUTH,467,Unsafe Roundabout Shortcut,WEST to SOUTH shortcut without roundabout traversal during congestion
1187,person,EAST,NORTH,538,Unsafe Roundabout Shortcut,EAST to NORTH shortcut without roundabout traversal during congestion
1220,car,NORTH,WEST,568,Unsafe Roundabout Shortcut,NORTH to WEST shortcut without roundabout traversal during congestion
1277,motorcycle,WEST,SOUTH,598,Unsafe Roundabout Shortcut,WEST to SOUTH shortcut without roundabout traversal during congestion
1414,car,NORTH,WEST,661,Unsafe Roundabout Shortcut,NORTH to WEST shortcut without roundabout traversal during congestion
1441,car,NORTH,WEST,673,Unsafe Roundabout Shortcut,NORTH to WEST shortcut without roundabout traversal during congestion
1447,bus,WEST,SOUTH,676,Unsafe Roundabout Shortcut,WEST to SOUTH shortcut without roundabout traversal during congestion
1457,person,EAST,NORTH,682,Unsafe Roundabout Shortcut,EAST to NORTH shortcut without roundabout traversal during congestion
1463,motorcycle,SOUTH,WEST,684,Unsafe Roundabout Shortcut,SOUTH to WEST shortcut without roundabout traversal during congestion
1465,person,NORTH,EAST,684,Unsafe Roundabout Shortcut,NORTH to EAST shortcut without roundabout traversal during congestion
1516,person,EAST,NORTH,713,Unsafe Roundabout Shortcut,EAST to NORTH shortcut without roundabout traversal during congestion
1527,motorcycle,WEST,SOUTH,719,Unsafe Roundabout Shortcut,WEST to SOUTH shortcut without roundabout traversal during congestion
1560,car,SOUTH,WEST,736,Unsafe Roundabout Shortcut,SOUTH to WEST shortcut without roundabout traversal during congestion
1611,car,NORTH,WEST,758,Unsafe Roundabout Shortcut,NORTH to WEST shortcut without roundabout traversal during congestion
1858,person,SOUTH,WEST,839,Unsafe Roundabout Shortcut,SOUTH to WEST shortcut without roundabout traversal during congestion
1861,motorcycle,WEST,SOUTH,840,Unsafe Roundabout Shortcut,WEST to SOUTH shortcut without roundabout traversal during congestion
1923,person,WEST,SOUTH,860,Unsafe Roundabout Shortcut,WEST to SOUTH shortcut without roundabout traversal during congestion
2067,person,WEST,SOUTH,907,Unsafe Roundabout Shortcut,WEST to SOUTH shortcut without roundabout traversal during congestion
2143,person,WEST,SOUTH,951,Unsafe Roundabout Shortcut,WEST to SOUTH shortcut without roundabout traversal during congestion
2196,motorcycle,EAST,NORTH,982,Unsafe Roundabout Shortcut,EAST to NORTH shortcut without roundabout traversal during congestion
2297,person,NORTH,EAST,1033,Unsafe Roundabout Shortcut,NORTH to EAST shortcut without roundabout traversal during congestion
2307,person,WEST,SOUTH,1039,Unsafe Roundabout Shortcut,WEST to SOUTH shortcut without roundabout traversal during congestion
2439,car,NORTH,WEST,1089,Unsafe Roundabout Shortcut,NORTH to WEST shortcut without roundabout traversal during congestion
2540,car,NORTH,WEST,1130,Unsafe Roundabout Shortcut,NORTH to WEST shortcut without roundabout traversal during congestion
2546,car,NORTH,WEST,1134,Unsafe Roundabout Shortcut,NORTH to WEST shortcut without roundabout traversal during congestion
2548,motorcycle,WEST,SOUTH,1135,Unsafe Roundabout Shortcut,WEST to SOUTH shortcut without roundabout traversal during congestion
2556,motorcycle,WEST,SOUTH,1146,Unsafe Roundabout Shortcut,WEST to SOUTH shortcut without roundabout traversal during congestion
2557,motorcycle,EAST,NORTH,1146,Unsafe Roundabout Shortcut,EAST to NORTH shortcut without roundabout traversal during congestion
2590,motorcycle,EAST,NORTH,1160,Unsafe Roundabout Shortcut,EAST to NORTH shortcut without roundabout traversal during congestion
2638,car,WEST,SOUTH,1181,Unsafe Roundabout Shortcut,WEST to SOUTH shortcut without roundabout traversal during congestion
2734,motorcycle,NORTH,WEST,1234,Unsafe Roundabout Shortcut,NORTH to WEST shortcut without roundabout traversal during congestion
2751,car,NORTH,WEST,1242,Unsafe Roundabout Shortcut,NORTH to WEST shortcut without roundabout traversal during congestion
2782,person,SOUTH,WEST,1257,Unsafe Roundabout Shortcut,SOUTH to WEST shortcut without roundabout traversal during congestion
2789,motorcycle,NORTH,EAST,1264,Unsafe Roundabout Shortcut,NORTH to EAST shortcut without roundabout traversal during congestion
