frame,track_id,overtaken_vehicle_id,violation_type,class_name
566,35,265,Unsafe Overtaking,car
610,245,280,Unsafe Overtaking,person
682,82,293,Unsafe Overtaking,car
720,82,262,Unsafe Overtaking,car
924,356,345,Unsafe Overtaking,car
948,345,356,Unsafe Overtaking,motorcycle
949,356,345,Unsafe Overtaking,car
1069,372,395,Unsafe Overtaking,car
1276,478,360,Unsafe Overtaking,motorcycle
1575,633,651,Unsafe Overtaking,car
1596,633,616,Unsafe Overtaking,car
1622,651,616,Unsafe Overtaking,person
1626,616,651,Unsafe Overtaking,person
1858,750,676,Unsafe Overtaking,motorcycle
1862,750,676,Unsafe Overtaking,motorcycle
1863,676,750,Unsafe Overtaking,car
1863,750,676,Unsafe Overtaking,motorcycle
1871,676,750,Unsafe Overtaking,car
2053,808,762,Unsafe Overtaking,motorcycle
2084,762,808,Unsafe Overtaking,car
2149,826,829,Unsafe Overtaking,motorcycle
2208,732,794,Unsafe Overtaking,car
2267,826,732,Unsafe Overtaking,motorcycle
2413,869,953,Unsafe Overtaking,car
2461,953,853,Unsafe Overtaking,motorcycle
2473,952,953,Unsafe Overtaking,motorcycle
2474,953,952,Unsafe Overtaking,motorcycle
2492,953,732,Unsafe Overtaking,motorcycle
2599,876,853,Unsafe Overtaking,car
2602,853,876,Unsafe Overtaking,car
2605,876,853,Unsafe Overtaking,car
2909,1013,1083,Unsafe Overtaking,car
3196,1053,1183,Unsafe Overtaking,car
3201,1053,1183,Unsafe Overtaking,car
3203,1053,1183,Unsafe Overtaking,car
3760,1209,1209,Unsafe Overtaking,car
3785,1209,1209,Unsafe Overtaking,car
3786,1209,1209,Unsafe Overtaking,car
3807,1209,1209,Unsafe Overtaking,car
3812,1209,1209,Unsafe Overtaking,car
3818,1209,1209,Unsafe Overtaking,car
3827,1209,1209,Unsafe Overtaking,car
3828,1209,1209,Unsafe Overtaking,car
3829,1209,1209,Unsafe Overtaking,car
3831,1283,1283,Unsafe Overtaking,car
3834,1209,1209,Unsafe Overtaking,car
3835,1209,1209,Unsafe Overtaking,car
3840,1209,1209,Unsafe Overtaking,car
3841,1209,1209,Unsafe Overtaking,car
3844,1209,1209,Unsafe Overtaking,car
3845,1209,1209,Unsafe Overtaking,car
3847,1209,1209,Unsafe Overtaking,car
3848,1209,1209,Unsafe Overtaking,car
3851,1209,1209,Unsafe Overtaking,car
4106,1469,1283,Unsafe Overtaking,motorcycle
4242,1445,1526,Unsafe Overtaking,motorcycle
4501,1530,1618,Unsafe Overtaking,car
4572,1491,1526,Unsafe Overtaking,car
4987,1759,1775,Unsafe Overtaking,motorcycle
5006,1780,1765,Unsafe Overtaking,motorcycle
5008,1780,1784,Unsafe Overtaking,motorcycle
5009,1780,1775,Unsafe Overtaking,motorcycle
5036,1783,1622,Unsafe Overtaking,motorcycle
5036,1627,1775,Unsafe Overtaking,car
5061,1775,1627,Unsafe Overtaking,motorcycle
5277,1627,1627,Unsafe Overtaking,car
5279,1627,1627,Unsafe Overtaking,car
5293,1627,1627,Unsafe Overtaking,car
5296,1627,1627,Unsafe Overtaking,car
5300,1857,1854,Unsafe Overtaking,car
5302,1627,1627,Unsafe Overtaking,car
5306,1627,1627,Unsafe Overtaking,car
5870,1979,3,Unsafe Overtaking,person
6241,2124,2104,Unsafe Overtaking,car
6393,2178,2179,Unsafe Overtaking,motorcycle
6451,2198,2178,Unsafe Overtaking,motorcycle
6451,1982,2198,Unsafe Overtaking,car
6452,2074,2198,Unsafe Overtaking,car
6503,2189,2141,Unsafe Overtaking,person
6505,2141,2189,Unsafe Overtaking,person
6598,2141,2229,Unsafe Overtaking,person
6622,2217,2253,Unsafe Overtaking,motorcycle
6624,2229,2251,Unsafe Overtaking,person
6642,2253,2217,Unsafe Overtaking,motorcycle
6685,2212,2242,Unsafe Overtaking,person
6888,2333,2229,Unsafe Overtaking,car
7235,2416,2473,Unsafe Overtaking,car
7297,2425,2470,Unsafe Overtaking,motorcycle
7419,2497,2074,Unsafe Overtaking,motorcycle
7463,2562,2050,Unsafe Overtaking,car
7688,2609,2623,Unsafe Overtaking,person
7772,2654,2609,Unsafe Overtaking,car
7773,2609,2654,Unsafe Overtaking,person
7951,2732,2720,Unsafe Overtaking,car
7967,2720,2732,Unsafe Overtaking,motorcycle
7979,2720,2732,Unsafe Overtaking,motorcycle
7984,2720,2756,Unsafe Overtaking,motorcycle
8001,2756,2732,Unsafe Overtaking,motorcycle
8158,2104,2801,Unsafe Overtaking,car
8229,2805,2800,Unsafe Overtaking,motorcycle
8230,2800,2805,Unsafe Overtaking,car
8232,2805,2800,Unsafe Overtaking,motorcycle
8234,2800,2805,Unsafe Overtaking,car
8235,2805,2800,Unsafe Overtaking,motorcycle
8240,2800,2805,Unsafe Overtaking,car
8245,2805,2800,Unsafe Overtaking,motorcycle
8616,2929,2764,Unsafe Overtaking,motorcycle
8616,2929,2869,Unsafe Overtaking,motorcycle
8617,2929,2798,Unsafe Overtaking,motorcycle
8693,2860,2906,Unsafe Overtaking,car
